geographic_id,name,geometry,parent_geography_id
AB10 1AW,AB10 1AW,"POLYGON ((-2.09714 57.14734, -2.09714 57.14743, -2.09698 57.14743, -2.09698 57.14734, -2.09714 57.14734))",
AB10 1AB,AB10 1AB,"POLYGON ((-2.09708 57.14902, -2.09708 57.14911, -2.09692 57.14911, -2.09691 57.14902, -2.09708 57.14902))",
AB10 1AF,AB10 1AF,"POLYGON ((-2.09708 57.14902, -2.09708 57.14911, -2.09692 57.14911, -2.09691 57.14902, -2.09708 57.14902))",
AB10 1AG,AB10 1AG,"POLYGON ((-2.09708 57.14902, -2.09708 57.14911, -2.09692 57.14911, -2.09691 57.14902, -2.09708 57.14902))",
AB10 1AH,AB10 1AH,"POLYGON ((-2.09708 57.14902, -2.09708 57.14911, -2.09692 57.14911, -2.09691 57.14902, -2.09708 57.14902))",
AB10 1AQ,AB10 1AQ,"POLYGON ((-2.09708 57.14902, -2.09708 57.14911, -2.09692 57.14911, -2.09691 57.14902, -2.09708 57.14902))",
AB10 1AR,AB10 1AR,"POLYGON ((-2.09708 57.14902, -2.09708 57.14911, -2.09692 57.14911, -2.09691 57.14902, -2.09708 57.14902))",
AB10 1AX,AB10 1AX,"POLYGON ((-2.09708 57.14902, -2.09708 57.14911, -2.09692 57.14911, -2.09691 57.14902, -2.09708 57.14902))",
AB10 1AL,AB10 1AL,"POLYGON ((-2.09635 57.15011, -2.09635 57.1502, -2.09619 57.1502, -2.09619 57.15011, -2.09635 57.15011))",
SW1A 0AA,SW1A 0AA,"POLYGON ((-0.12474 51.4998, -0.12473 51.49989, -0.12459 51.49988, -0.12459 51.49979, -0.12474 51.4998))",
AB10 1AN,AB10 1AN,"POLYGON ((-2.09461 57.15006, -2.09455 57.15011, -2.09442 57.15004, -2.09393 57.14994, -2.09388 57.14992, -2.09389 57.14989, -2.09393 57.14987, -2.09397 57.14988, -2.09422 57.14967, -2.09429 57.14942, -2.09472 57.14944, -2.09484 57.14935, -2.0949 57.14942, -2.09498 57.14956, -2.09502 57.14956, -2.09503 57.1496, -2.09503 57.14962, -2.09496 57.14968, -2.09456 57.14999, -2.09435 57.14995, -2.09461 57.15006))",
AB10 1AS,AB10 1AS,"POLYGON ((-2.09787 57.14818, -2.09759 57.1485, -2.0973 57.14848, -2.0972 57.14829, -2.09693 57.14821, -2.09687 57.14811, -2.0968 57.14797, -2.09716 57.14795, -2.09726 57.14789, -2.09787 57.14818))",
AB10 1AU,AB10 1AU,"POLYGON ((-2.09674 57.14736, -2.09682 57.14738, -2.09709 57.1473, -2.0971 57.14729, -2.09734 57.14722, -2.09734 57.14723, -2.0975 57.14722, -2.0975 57.14717, -2.09761 57.14714, -2.09767 57.14721, -2.09769 57.14724, -2.09765 57.14726, -2.09717 57.14748, -2.09712 57.14751, -2.09711 57.14751, -2.09666 57.1476, -2.09674 57.14764, -2.09726 57.14789, -2.09716 57.14795, -2.0968 57.14797, -2.0965 57.14799, -2.09603 57.14815, -2.09601 57.14816, -2.09598 57.14815, -2.09598 57.14814, -2.09553 57.14791, -2.09588 57.1477, -2.09589 57.14769, -2.09603 57.14766, -2.09607 57.14765, -2.09624 57.1476, -2.09625 57.1476, -2.09631 57.14759, -2.0964 57.14751, -2.09655 57.14748, -2.09665 57.14746, -2.09672 57.14736, -2.09674 57.14736))",
BD1 1EE,BD1 1EE,"MULTIPOLYGON (((-1.75159 53.79372, -1.75142 53.79369, -1.75153 53.79349, -1.75181 53.79358, -1.75182 53.79362, -1.75183 53.79365, -1.75184 53.79375, -1.75184 53.79376, -1.75159 53.79372)), ((-1.75166 53.793, -1.75168 53.79307, -1.75171 53.79319, -1.75171 53.79324, -1.75134 53.79343, -1.75096 53.79362, -1.74935 53.79393, -1.74933 53.79392, -1.74931 53.79391, -1.7493 53.79389, -1.7492 53.79366, -1.74913 53.79363, -1.74908 53.7936, -1.74892 53.7935, -1.74905 53.79351, -1.74955 53.79347, -1.74984 53.79341, -1.75004 53.79336, -1.74986 53.79298, -1.74987 53.79293, -1.75042 53.7925, -1.75054 53.7925, -1.75113 53.79288, -1.75131 53.793, -1.75166 53.793)))",
SE1 9SG,SE1 9SG,"POLYGON ((-0.08742 51.5047, -0.08761 51.50476, -0.08772 51.50474, -0.08785 51.50509, -0.08807 51.50501, -0.08818 51.50506, -0.08842 51.50517, -0.08854 51.50513, -0.08866 51.50521, -0.08885 51.50528, -0.08885 51.50531, -0.08887 51.50531, -0.08871 51.50544, -0.08869 51.50557, -0.08866 51.50574, -0.08869 51.50576, -0.08853 51.50578, -0.0882 51.50581, -0.0879 51.50581, -0.08777 51.5058, -0.08769 51.5058, -0.08729 51.50564, -0.08705 51.50553, -0.08695 51.50548, -0.08694 51.50515, -0.08727 51.50474, -0.08727 51.50475, -0.08741 51.50475, -0.08742 51.5047))",
SW1A 1AA,SW1A 1AA,"POLYGON ((-0.14616 51.50236, -0.14431 51.50229, -0.1437 51.50227, -0.14362 51.50226, -0.14283 51.50223, -0.14053 51.5022, -0.1403 51.50215, -0.14015 51.50204, -0.14007 51.50193, -0.14009 51.50171, -0.14012 51.5014, -0.13998 51.50123, -0.13956 51.50083, -0.13972 51.50078, -0.14012 51.50067, -0.14053 51.50026, -0.14064 51.50025, -0.14097 51.50021, -0.14139 51.50004, -0.14245 51.4996, -0.14284 51.49944, -0.14305 51.49957, -0.14342 51.50022, -0.14352 51.50038, -0.14431 51.50079, -0.14608 51.502, -0.14614 51.5022, -0.14616 51.50236))",
SW1A 2AA,SW1A 2AA,"POLYGON ((-0.12726 51.50321, -0.12742 51.50329, -0.12802 51.50359, -0.12883 51.50441, -0.1285 51.50438, -0.12671 51.50361, -0.12671 51.5036, -0.12607 51.50333, -0.12598 51.50325, -0.126 51.50322, -0.12606 51.50319, -0.12606 51.50316, -0.12614 51.50316, -0.12719 51.50321, -0.12726 51.50321))",
